Sample_Reference;Individual Reference in Paper;Site;Country;143Nd/144Nd;SD;Epsi-Nd 
1;1-A22;Amsterdam;The Netherlands;0,512044;0,000044;-11,6
2;2-A20;Warmenhuizen;The Netherlands;0,512091;0,000037;-10,7
3;3-A24;Amsterdam;The Netherlands;0,512193;0,000029;-8,7
4;4-AH;Purmerend;The Netherlands;0,512229;0,000047;-8
5;5-A25;Amsterdam;The Netherlands;0,512056;0,000091;-11,4
6;6-A10;Amsterdam;The Netherlands;0,512175;0,000032;-9
7;7-A13;Amsterdam;The Netherlands;0,512098;0,000059;-10,5
8;8-A27;Alkmaar;The Netherlands;0,512185;0,000188;-8,8
9;9-A28;Amsterdam;The Netherlands;0,51238;0,000119;-5
10;10-A18;Amsterdam;The Netherlands;0,512288;0,000119;-6,8
11;11-A15;Amsterdam;The Netherlands;0,512589;0,000080;-1
12;12-A9;Amsterdam;The Netherlands;0,51233;0,000124;-6
13;28-R14a;Dordrecht;The Netherlands;0,512388;0,000032;-4,9
14;29-R11;Rotterdam;The Netherlands;0,51208;0,000029;-10,9
15;30-R13;Rotterdam;The Netherlands;0,511869;0,000028;-15
16;31-R2;Rotterdam;The Netherlands;0,512048;0,000028;-11,5
17;32-R3;Rotterdam;The Netherlands;0,511945;0,000048;-13,5
18;33-R9;Rotterdam;The Netherlands;0,511972;0,000100;-13
19;34-R5;Rotterdam;The Netherlands;0,511987;0,000105;-12,7
20;35-R9;Rotterdam;The Netherlands;0,51202;0,000166;-12,1
21;36-F1;Lippenhuizen;The Netherlands;0,511959;0,000030;-13,2
22;37-F3;Holwerd;The Netherlands;0,511938;0,000130;-13,7
23;38-F4;Leeuwarden;The Netherlands;0,512011;0,000094;-12,2
24;39-F8;Leeuwarden;The Netherlands;0,51182;0,000107;-16
25;40-F11;Leeuwarden;The Netherlands;0,512046;0,000063;-11,5
26;41-F12;Oldeboorn;The Netherlands;0,512048;0,000035;-11,5
27;42-F13;Leeuwarden;The Netherlands;0,511928;0,000060;-13,8
28;43-R6;Maastricht;The Netherlands;0,511999;0,000029;-12,5
29;44-M4;Maastricht;The Netherlands;0,51182;0,000049;-16
30;45-M5;Maastricht;The Netherlands;0,511973;0,000056;-13
31;47-M14;Maastricht;The Netherlands;0,51188;0,000117;-14,8
32;48-ZH1;Heerlen;The Netherlands;0,511916;0,000112;-14,1
33;49-ZH3;Heerlen;The Netherlands;0,512061;0,000064;-11,3
34;50-ZH4;Heerlen;The Netherlands;0,512075;0,000080;-11
35;51-ZH9;Vaals;The Netherlands;0,511924;0,000050;-13,9
36;W1-Gr;St. George's;Grenada;0,512773;0,000030;2,6
37;W2-R8;Willemstad;Curacao;0,512131;0,000043;-9,9
38;W3-B4;Kralendijk;Bonaire;0,512127;0,000038;-10
39;W4-B16;Cucuta;Columbia;0,512043;0,000142;-11,6
40;W5-I;Reykjavik;Iceland;0,511889;0,000029;-14,6
